]633;E;{ head -n1 "$OUT"\x3b tail -n +2 "$OUT" | LC_ALL=C sort -u\x3b } > .tmp && mv .tmp "$OUT";3144bff2-d5ee-477d-95d4-68949f379621]633;Clema,pos,fuente,localizacion
abalconado,Adjetivos,RAE,es_ES
abaldonar,VerbosAnticuadosDesusados,RAE,es_ES
abalear,VerbosTransitivos,RAE,es_ES
abalizar,VerbosTransitivos,RAE,es_ES
aballar,VerbosTransitivos,RAE,es_ES
aballar,VerbosTransitivosIntransitivosPronominales,RAE,es_ES
aballestar,VerbosTransitivos,RAE,es_ES
abalorio,NombresMasculinos,RAE,es_ES
abaluartar,VerbosTransitivos,RAE,es_ES
abanador,NombresMasculinos,RAE,es_ES
abanar,VerbosTransitivos,RAE,es_ES
abancalar,VerbosTransitivos,RAE,es_ES
abanda,NombresMasculinos,RAE,es_ES
abanderado,NombresMasculinosFemeninos,RAE,es_ES
abanderamiento,NombresMasculinos,RAE,es_ES
abanderar,VerbosTransitivosPronominales,RAE,es_ES
abanderizar,VerbosTransitivosPronominales,RAE,es_ES
abandonado,Adjetivos,RAE,es_ES
abandonar,VerbosTransitivosIntransitivosPronominales,RAE,es_ES
abandonismo,NombresMasculinos,RAE,es_ES
abandonista,Adjetivos,RAE,es_ES
abandono,NombresMasculinos,RAE,es_ES
abanear,VerbosIntransitivos,RAE,es_ES
abanicar,VerbosTransitivosPronominales,RAE,es_ES
abanico,NombresMasculinos,RAE,es_ES
abanillo,NombresMasculinos,RAE,es_ES
abaniqueo,NombresMasculinos,RAE,es_ES
abaniquero,NombresMasculinosFemeninos,RAE,es_ES
abaniquería,NombresFemeninos,RAE,es_ES
abanquino,Adjetivos,RAE,es_ES
abanquino,NombresMasculinosFemeninos,RAE,es_ES
abanto,Adjetivos,RAE,es_ES
abanto,NombresMasculinos,RAE,es_ES
abaratamiento,NombresMasculinos,RAE,es_ES
abaratar,VerbosTransitivosPronominales,RAE,es_ES
abarañar,VerbosTransitivos,RAE,es_ES
abarbechar,VerbosTransitivos,RAE,es_ES
abarca,NombresFemeninos,RAE,es_ES
abarcable,Adjetivos,RAE,es_ES
abarcado,Adjetivos,RAE,es_ES
abarcador,Adjetivos,RAE,es_ES
abarcadura,NombresFemeninos,RAE,es_ES
abarcamiento,NombresMasculinos,RAE,es_ES
abarcar,VerbosTransitivos,RAE,es_ES
abarcuzar,VerbosTransitivos,RAE,es_ES
abarcón,NombresMasculinos,RAE,es_ES
abaritonado,Adjetivos,RAE,es_ES
abarloar,VerbosTransitivosPronominales,RAE,es_ES
abarquillado,Adjetivos,RAE,es_ES
abarquillamiento,NombresMasculinos,RAE,es_ES
abarquillar,VerbosTransitivosPronominales,RAE,es_ES
abarraganar,VerbosPronominales,RAE,es_ES
abarrajar,VerbosTransitivos,RAE,es_ES
abarrancadero,NombresMasculinos,RAE,es_ES
abarrancamiento,NombresMasculinos,RAE,es_ES
abarrancar,VerbosTransitivosIntransitivosPronominales,RAE,es_ES
abarrar,VerbosAnticuadosDesusados,RAE,es_ES
abarrederas,NombresFemeninos,RAE,es_ES
abarrenar,VerbosAnticuadosDesusados,RAE,es_ES
abarrocado,Adjetivos,RAE,es_ES
abarrotamiento,NombresMasculinos,RAE,es_ES
abarrotar,VerbosTransitivos,RAE,es_ES
abastar,VerbosTransitivosPronominales,RAE,es_ES
abastardar,VerbosIntransitivos,RAE,es_ES
abastecedor,Adjetivos,RAE,es_ES
abastecedor,NombresMasculinosFemeninos,RAE,es_ES
abastecer,VerbosTransitivosPronominales,RAE,es_ES
abastecimiento,NombresMasculinos,RAE,es_ES
abastionar,VerbosTransitivos,RAE,es_ES
abasí,Adjetivos,RAE,es_ES
abasí,NombresComunes,RAE,es_ES
abatanado,NombresMasculinos,RAE,es_ES
abatanar,VerbosTransitivos,RAE,es_ES
abatir,VerbosTransitivosIntransitivosPronominales,RAE,es_ES
abatojar,VerbosTransitivos,RAE,es_ES
abayado,Adjetivos,RAE,es_ES
abazón,NombresMasculinos,RAE,es_ES
abañar,VerbosTransitivos,RAE,es_ES
abc,NombresMasculinos,RAE,es_ES
abderitano,Adjetivos,RAE,es_ES
abderitano,NombresMasculinosFemeninos,RAE,es_ES
abdicar,VerbosTransitivos,RAE,es_ES
abdicativamente,Adverbios,RAE,es_ES
abdicativo,Adjetivos,RAE,es_ES
abdomen,NombresMasculinos,RAE,es_ES
abdominal,Adjetivos,RAE,es_ES
abducción,NombresFemeninos,RAE,es_ES
abducir,VerbosTransitivos,RAE,es_ES
